feature,importance,importance_percent,rank,cumulative_importance,cumulative_percent
V14,0.1952759679403878,19.52759679403878,1,0.1952759679403878,19.52759679403878
V12,0.15854851651054835,15.854851651054835,2,0.35382448445093617,35.382448445093615
V10,0.14183557382755355,14.183557382755355,3,0.4956600582784897,49.56600582784897
V4,0.0967706797415657,9.67706797415657,4,0.5924307380200554,59.24307380200554
V11,0.09151213073340742,9.151213073340742,5,0.6839428687534628,68.39428687534628
V17,0.06978769259933873,6.978769259933873,6,0.7537305613528015,75.37305613528015
V16,0.03227031655260893,3.2270316552608933,7,0.7860008779054104,78.60008779054104
V3,0.03147755886543706,3.1477558865437056,8,0.8174784367708474,81.74784367708475
V_mean,0.02870061309429862,2.870061309429862,9,0.846179049865146,84.6179049865146
V_sum,0.019753719835994887,1.9753719835994887,10,0.865932769701141,86.59327697011409
V_min,0.01265255863542441,1.2652558635424411,11,0.8785853283365653,87.85853283365654
V_mean,0.011664692323203805,1.1664692323203805,12,0.8902500206597691,89.0250020659769
V7,0.011568140600277893,1.1568140600277892,13,0.901818161260047,90.1818161260047
V21,0.009836219944385247,0.9836219944385247,14,0.9116543812044322,91.16543812044323
V27,0.00796641233589365,0.796641233589365,15,0.9196207935403259,91.96207935403258
V8,0.007599172812795694,0.7599172812795694,16,0.9272199663531215,92.72199663531215
V6,0.006722957540513057,0.6722957540513057,17,0.9339429238936346,93.39429238936347
V19,0.0060096614029534505,0.600966140295345,18,0.9399525852965881,93.99525852965881
V9,0.005659747893634573,0.5659747893634574,19,0.9456123331902226,94.56123331902226
V1,0.005416416592648592,0.5416416592648592,20,0.9510287497828712,95.10287497828712
V_std,0.004862465870935392,0.48624658709353924,21,0.9558912156538066,95.58912156538067
V5,0.004699189356017147,0.46991893560171466,22,0.9605904050098237,96.05904050098238
V2,0.004587771359662598,0.45877713596625985,23,0.9651781763694863,96.51781763694864
V18,0.003867931190426895,0.3867931190426895,24,0.9690461075599133,96.90461075599133
V_std,0.0036573663576052466,0.3657366357605247,25,0.9727034739175185,97.27034739175186
V_sum,0.003234642993165759,0.3234642993165759,26,0.9759381169106843,97.59381169106844
V20,0.0029434963431263866,0.29434963431263866,27,0.9788816132538107,97.88816132538108
V13,0.0027897448781106166,0.27897448781106166,28,0.9816713581319213,98.16713581319213
V28,0.0026788206888699578,0.2678820688869958,29,0.9843501788207912,98.43501788207912
V26,0.00267109923764749,0.267109923764749,30,0.9870212780584388,98.70212780584387
V23,0.0026656997125522686,0.26656997125522686,31,0.989686977770991,98.9686977770991
V15,0.0023842873531384453,0.23842873531384454,32,0.9920712651241295,99.20712651241294
V_max,0.002266344999559548,0.2266344999559548,33,0.994337610123689,99.4337610123689
V25,0.0020908467191716497,0.20908467191716495,34,0.9964284568428607,99.64284568428607
V22,0.001841032855748612,0.1841032855748612,35,0.9982694896986094,99.82694896986094
V24,0.0017070364234957993,0.17070364234957994,36,0.9999765261221052,99.99765261221052
Amount_sqrt,8.27149799715503e-06,0.0008271497997155029,37,0.9999847976201024,99.99847976201023
Amount_log,8.193041055076745e-06,0.0008193041055076745,38,0.9999929906611574,99.99929906611574
Amount,7.009338842465922e-06,0.0007009338842465922,39,0.9999999999999999,99.99999999999999
