feature,importance,importance_percent,rank,cumulative_importance,cumulative_percent
V14,0.12503810302064236,12.503810302064236,1,0.12503810302064236,12.503810302064236
V4,0.11704718878515318,11.704718878515317,2,0.24208529180579552,24.208529180579553
V_std,0.09961807307934432,9.961807307934432,3,0.34170336488513986,34.17033648851399
V_std,0.08373161113813396,8.373161113813396,4,0.42543497602327385,42.543497602327385
V_sum,0.08043512505468986,8.043512505468986,5,0.5058701010779637,50.587010107796374
V_sum,0.059074448556891215,5.907444855689121,6,0.564944549634855,56.494454963485495
V17,0.05696196639457353,5.696196639457353,7,0.6219065160294285,62.19065160294285
V_min,0.05540735119448869,5.540735119448869,8,0.6773138672239172,67.73138672239172
V10,0.04821128049399879,4.821128049399879,9,0.725525147717916,72.55251477179159
V12,0.04096236403619343,4.0962364036193435,10,0.7664875117541095,76.64875117541095
V11,0.03547145352961919,3.547145352961919,11,0.8019589652837287,80.19589652837287
V_mean,0.025125489131875914,2.5125489131875915,12,0.8270844544156046,82.70844544156046
V3,0.02154287223487445,2.154287223487445,13,0.8486273266504791,84.86273266504791
V16,0.01244707665055161,1.244707665055161,14,0.8610744033010307,86.10744033010307
V_mean,0.011889647151708723,1.1889647151708724,15,0.8729640504527394,87.29640504527394
V1,0.010071929736104367,1.0071929736104368,16,0.8830359801888438,88.30359801888437
V8,0.009459058270589122,0.9459058270589121,17,0.8924950384594329,89.2495038459433
Amount_log,0.008975251062207666,0.8975251062207666,18,0.9014702895216405,90.14702895216405
V2,0.008725547892974935,0.8725547892974935,19,0.9101958374146155,91.01958374146155
V19,0.008568020312411597,0.8568020312411597,20,0.9187638577270271,91.8763857727027
V7,0.007930284156576786,0.7930284156576786,21,0.9266941418836039,92.66941418836039
Amount_sqrt,0.007294545166074366,0.7294545166074365,22,0.9339886870496783,93.39886870496782
Amount,0.006524805698571912,0.6524805698571912,23,0.9405134927482502,94.05134927482503
Day,0.005712234882278315,0.5712234882278314,24,0.9462257276305286,94.62257276305286
V6,0.0054128253395041665,0.5412825339504167,25,0.9516385529700327,95.16385529700328
Time_normalized,0.004379034098023853,0.43790340980238535,26,0.9560175870680566,95.60175870680567
V26,0.004120590664972739,0.41205906649727386,27,0.9601381777330293,96.01381777330293
V_max,0.003782291465003429,0.3782291465003429,28,0.9639204691980328,96.39204691980328
V21,0.0037270271482865705,0.372702714828657,29,0.9676474963463193,96.76474963463193
V9,0.0036655464657896304,0.36655464657896303,30,0.971313042812109,97.1313042812109
V13,0.0034752503521755106,0.34752503521755107,31,0.9747882931642845,97.47882931642845
V15,0.0033190338797820726,0.3319033879782073,32,0.9781073270440666,97.81073270440666
V18,0.0031801248702210145,0.31801248702210144,33,0.9812874519142876,98.12874519142876
V20,0.003066672811825106,0.30666728118251063,34,0.9843541247261127,98.43541247261128
V5,0.0026571285337809902,0.265712853378099,35,0.9870112532598937,98.70112532598937
V27,0.002386765649455857,0.2386765649455857,36,0.9893980189093495,98.93980189093496
V28,0.002363242282116001,0.2363242282116001,37,0.9917612611914656,99.17612611914656
Hour,0.002218063171585954,0.2218063171585954,38,0.9939793243630515,99.39793243630515
V22,0.0018631944678061867,0.18631944678061868,39,0.9958425188308576,99.58425188308576
V25,0.0016044039711309624,0.16044039711309624,40,0.9974469228019885,99.74469228019885
V23,0.001422168724593425,0.1422168724593425,41,0.998869091526582,99.8869091526582
V24,0.0011309084734181225,0.11309084734181225,42,1.0,100.0
