feature,importance,importance_percent,rank,cumulative_importance,cumulative_percent
V14,0.1952759679403878,19.52759679403878,1,0.1952759679403878,19.52759679403878
V12,0.15854851651054835,15.854851651054835,2,0.35382448445093617,35.382448445093615
V10,0.14183557382755355,14.183557382755355,3,0.4956600582784897,49.56600582784897
V4,0.0967706797415657,9.67706797415657,4,0.5924307380200554,59.24307380200554
V11,0.09151213073340742,9.151213073340742,5,0.6839428687534628,68.39428687534628
V17,0.06978769259933873,6.978769259933873,6,0.7537305613528015,75.37305613528015
V16,0.03227031655260893,3.2270316552608933,7,0.7860008779054104,78.60008779054104
V3,0.03147755886543706,3.1477558865437056,8,0.8174784367708474,81.74784367708475
V_mean,0.02870061309429862,2.870061309429862,9,0.846179049865146,84.6179049865146
V_sum,0.019753719835994887,1.9753719835994887,10,0.865932769701141,86.59327697011409
V_min,0.01265255863542441,1.2652558635424411,11,0.8785853283365653,87.85853283365654
V_mean,0.011664692323203805,1.1664692323203805,12,0.8902500206597691,89.0250020659769
V7,0.011568140600277893,1.1568140600277892,13,0.901818161260047,90.1818161260047
V21,0.009836219944385247,0.9836219944385247,14,0.9116543812044322,91.16543812044323
V27,0.00796641233589365,0.796641233589365,15,0.9196207935403259,91.96207935403258
V8,0.007599172812795694,0.7599172812795694,16,0.9272199663531215,92.72199663531215
V6,0.006722957540513057,0.6722957540513057,17,0.9339429238936346,93.39429238936347
V19,0.0060096614029534505,0.600966140295345,18,0.9399525852965881,93.99525852965881
V9,0.005659747893634573,0.5659747893634574,19,0.9456123331902226,94.56123331902226
V1,0.005416416592648592,0.5416416592648592,20,0.9510287497828712,95.10287497828712
