feature,importance,importance_percent,rank,cumulative_importance,cumulative_percent
V14,0.12503810302064236,12.503810302064236,1,0.12503810302064236,12.503810302064236
V4,0.11704718878515318,11.704718878515317,2,0.24208529180579552,24.208529180579553
V_std,0.09961807307934432,9.961807307934432,3,0.34170336488513986,34.17033648851399
V_std,0.08373161113813396,8.373161113813396,4,0.42543497602327385,42.543497602327385
V_sum,0.08043512505468986,8.043512505468986,5,0.5058701010779637,50.587010107796374
V_sum,0.059074448556891215,5.907444855689121,6,0.564944549634855,56.494454963485495
V17,0.05696196639457353,5.696196639457353,7,0.6219065160294285,62.19065160294285
V_min,0.05540735119448869,5.540735119448869,8,0.6773138672239172,67.73138672239172
V10,0.04821128049399879,4.821128049399879,9,0.725525147717916,72.55251477179159
V12,0.04096236403619343,4.0962364036193435,10,0.7664875117541095,76.64875117541095
V11,0.03547145352961919,3.547145352961919,11,0.8019589652837287,80.19589652837287
V_mean,0.025125489131875914,2.5125489131875915,12,0.8270844544156046,82.70844544156046
V3,0.02154287223487445,2.154287223487445,13,0.8486273266504791,84.86273266504791
V16,0.01244707665055161,1.244707665055161,14,0.8610744033010307,86.10744033010307
V_mean,0.011889647151708723,1.1889647151708724,15,0.8729640504527394,87.29640504527394
V1,0.010071929736104367,1.0071929736104368,16,0.8830359801888438,88.30359801888437
V8,0.009459058270589122,0.9459058270589121,17,0.8924950384594329,89.2495038459433
Amount_log,0.008975251062207666,0.8975251062207666,18,0.9014702895216405,90.14702895216405
V2,0.008725547892974935,0.8725547892974935,19,0.9101958374146155,91.01958374146155
V19,0.008568020312411597,0.8568020312411597,20,0.9187638577270271,91.8763857727027
